"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1",0.014,0.045,0.108,0.885,0.959,0.979,1,1,1
"2",0.009,0.064,0.122,0.891,0.961,0.982,1,1,1
"3",0.012,0.065,0.112,0.898,0.969,0.983,1,1,1
"4",0.011,0.043,0.091,0.89,0.959,0.979,1,1,1
"5",0.005,0.063,0.126,0.86,0.953,0.972,1,1,1
"6",0.011,0.052,0.116,0.857,0.954,0.974,1,1,1
"7",0.014,0.054,0.108,0.867,0.955,0.975,1,1,1
