"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"",0,0,646,302,52,0,0,0,0
"",0,0,722,224,50,4,0,0,0
"",0,0,781,173,43,2,1,0,0
"",0,0,938,48,9,5,0,0,0
"",0,0,995,3,1,0,1,0,0
"",0,0,1000,0,0,0,0,0,0
"estimated_KhatC",0,0,1000,0,0,0,0,0,0
