"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1",0.013,0.057,0.113,0.425,0.66,0.765,0.979,0.992,0.994
"2",0.018,0.059,0.114,0.405,0.646,0.752,0.976,0.993,0.998
"3",0.008,0.026,0.072,0.431,0.679,0.778,0.992,0.998,1
"4",0.014,0.064,0.121,0.456,0.685,0.787,0.981,0.995,0.998
"5",0.015,0.066,0.117,0.44,0.669,0.769,0.981,0.996,0.999
"6",0.006,0.04,0.089,0.461,0.67,0.782,0.986,0.996,0.998
"7",0.014,0.045,0.091,0.455,0.691,0.786,0.982,0.997,1
