"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1",0.012,0.048,0.109,0.985,0.997,0.999,1,1,1
"2",0.014,0.06,0.117,0.984,0.996,0.998,1,1,1
"3",0.006,0.049,0.112,0.993,1,1,1,1,1
"4",0.011,0.049,0.107,0.983,0.996,0.998,1,1,1
"5",0.015,0.048,0.114,0.97,0.992,0.997,1,1,1
"6",0.011,0.057,0.108,0.977,0.998,1,1,1,1
"7",0.011,0.05,0.112,0.982,0.997,0.999,1,1,1
