"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1",0.009,0.043,0.086,0.991,0.999,1,1,1,1
"2",0.009,0.049,0.109,0.989,0.996,0.999,1,1,1
"3",0.008,0.055,0.107,0.989,0.998,0.999,1,1,1
"4",0.008,0.044,0.094,0.988,1,1,1,1,1
"5",0.01,0.057,0.111,0.976,0.995,1,1,1,1
"6",0.014,0.06,0.105,0.97,0.995,0.997,1,1,1
"7",0.013,0.05,0.097,0.976,0.994,0.996,1,1,1
