"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1",0.016,0.054,0.114,0.432,0.644,0.756,0.972,0.995,0.997
"2",0.015,0.054,0.113,0.408,0.66,0.776,0.977,0.997,0.998
"3",0.01,0.04,0.099,0.42,0.67,0.774,0.986,0.998,1
"4",0.02,0.059,0.102,0.46,0.675,0.768,0.983,0.994,0.996
"5",0.015,0.055,0.116,0.421,0.645,0.749,0.977,0.995,0.999
"6",0.009,0.044,0.093,0.45,0.667,0.781,0.988,0.998,1
"7",0.012,0.059,0.112,0.453,0.684,0.773,0.979,0.997,0.999
