"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"",1,9,989,1,0,0,0,0,0
"",1,9,990,0,0,0,0,0,0
"",0,10,990,0,0,0,0,0,0
"",0,4,996,0,0,0,0,0,0
"",0,6,994,0,0,0,0,0,0
"",0,8,992,0,0,0,0,0,0
"estimated_KhatC",0,6,994,0,0,0,0,0,0
